Penguin ID,Title,Authors,URL,ISBN,Image
256466,Metamorphoses,Ovid,https://www.penguin.co.uk/books/256466/metamorphoses-by-ovid/9780140447897,9780140447897,https://cdn.penguin.co.uk/dam-assets/books/9780140447897/9780140447897-jacket-large.jpg
34295,Our Mutual Friend,Charles Dickens,https://www.penguin.co.uk/books/34295/our-mutual-friend-by-charles-dickens-edited-with-an-introduction-and-notes-by-adrian-poole-chronology-by-stephen-wall/9780140434972,9780140434972,https://cdn.penguin.co.uk/dam-assets/books/9780140434972/9780140434972-jacket-large.jpg
34944,Tales from the Thousand and One Nights,William Harvey,https://www.penguin.co.uk/books/34944/tales-from-the-thousand-and-one-nights-by-trans-nj-dawood-wood-engravings-by-william-harvey/9780140442892,9780140442892,https://cdn.penguin.co.uk/dam-assets/books/9780140442892/9780140442892-jacket-large.jpg
34197,The Complete Poems,John Milton,https://www.penguin.co.uk/books/34197/the-complete-poems-by-john-milton-edited-with-a-preface-and-notes-by-john-leonard/9780140433630,9780140433630,https://cdn.penguin.co.uk/dam-assets/books/9780140433630/9780140433630-jacket-large.jpg
35503,The Nicomachean Ethics,Aristotle,https://www.penguin.co.uk/books/35503/the-nicomachean-ethics-by-aristotle-trans--j-a-k-thomson-revised-by-hugh-tredennick-intro-jonathan-barnes/9780140449495,9780140449495,https://cdn.penguin.co.uk/dam-assets/books/9780140449495/9780140449495-jacket-large.jpg
34664,The Persian Expedition,Xenophon,https://www.penguin.co.uk/books/34664/the-persian-expedition-by-xenophon-trans-rex-warner-intro-and-notes--by-george-cawkwell/9780140440072,9780140440072,https://cdn.penguin.co.uk/dam-assets/books/9780140440072/9780140440072-jacket-large.jpg
34371,The Pickwick Papers,Charles Dickens,https://www.penguin.co.uk/books/34371/the-pickwick-papers-by-charles-dickens-edited----with-an-introduction-and-notes-by-mark-wormald-chronology-by-stephen-wall/9780140436112,9780140436112,https://cdn.penguin.co.uk/dam-assets/books/9780140436112/9780140436112-jacket-large.jpg
35329,The Upanishads,,https://www.penguin.co.uk/books/35329/the-upanishads-by-translated-and-edited-with-an-introduction-by-valerie-j-roebuck/9780140447491,9780140447491,https://cdn.penguin.co.uk/dam-assets/books/9780140447491/9780140447491-jacket-large.jpg
34077,The Warden,Anthony Trollope,https://www.penguin.co.uk/books/34077/the-warden-by-anthony-trollope-edited-with-an-introduction-and-notes-by-robin-gilmour/9780140432145,9780140432145,https://cdn.penguin.co.uk/dam-assets/books/9780140432145/9780140432145-jacket-large.jpg
34374,The Wealth of Nations,Adam Smith,https://www.penguin.co.uk/books/34374/the-wealth-of-nations-by-adam-smith-edited--with-an-introduction-and-notes-by-andrew-skinner/9780140436150,9780140436150,https://cdn.penguin.co.uk/dam-assets/books/9780140436150/9780140436150-jacket-large.jpg
34872,Vita Nuova,Dante Alighieri,https://www.penguin.co.uk/books/34872/vita-nuova-by-trans-barbara-reynolds-dante-alighieri/9780140449471,9780140449471,https://cdn.penguin.co.uk/dam-assets/books/9780140449471/9780140449471-jacket-large.jpg
